,colnames,Feature_Imp
0,term,0.43466546724857547
2,loan_amount,0.28613340468659365
3,state_default_rate,0.09213435627645362
1,employee_count,0.06571728852304612
4,industry_default_rate,0.06454351594554461
6,other_loans_Y,0.021834101395520247
5,other_loans_N,0.017874229377825606
7,year_2009,0.00938399770811532
8,year_2010,0.0077136388383253806
